AIR GUA INOLI YG TERLUAS DI BUTENG,"M9XX+F9X, Lalibo, Buton Regency",-5.3012649,122.3984956,"travel_agency, point_of_interest, establishment",ChIJ-zJ8-6GDoy0RmHL42Ykjs0Y
Air Terjun Kogawuna,"HMG8+QGX, Lakologou, Bau-Bau City",-5.4230241,122.6663601,"tourist_attraction, point_of_interest, establishment",ChIJf_djCKN1pC0R4ohVjGEHYVM
Air Terjun Moramo,"QPHW+M27, Sumber Sari, Kabupaten Konawe Selatan",-4.2208421,122.7450313,"tourist_attraction, point_of_interest, establishment",ChIJC5kz2gyfmC0RJ-cNwqLkfKs
Black hole,"PQFW+GV3, Wakalambe, Buton Regency",-5.2762368,122.7971649,"park, point_of_interest, establishment",ChIJz748bADzoy0RuYLb0VaKKrY
BTN Apolu Valey (permandian),"M866+6F, Sanggi-Sanggi, South Konawe Regency",-4.3393853,122.3111541,"point_of_interest, establishment",ChIJQ5OYAFyBoi0RyZtHs38PTTg
Cave Una,"PGCF+F3R, Moko, Buton Regency",-5.2787619,122.5226322,"cafe, food, point_of_interest, establishment",ChIJ2cCpC5KFoy0RTmv7NTmkVc0
Danau Gumanano,"J853+XFH, Gumamano, Buton Regency",-5.3900548,122.3037402,"tourist_attraction, point_of_interest, establishment",ChIJOze-uFZ-oy0RdlrKfFNzljs
Danau Moko 1,"RHFM+69Q, Oempu, Muna Regency",-5.1769017,122.5834691,"tourist_attraction, point_of_interest, establishment",ChIJC_Xbs9iWoy0Rlq-oIOEceYs
Danau Napabale,"Lohia, Muna Regency",-4.9047766,122.7532569,"tourist_attraction, point_of_interest, establishment",ChIJqeLUv5rJoy0R3BIvboK7gpE
Danau Napabale,"Danau Napabale, Indonesia",-4.5417722,122.4512726,"natural_feature, establishment",ChIJHaQX8ktnoi0Rk0V0mca2I8g
Goa Air Besar,"HHGQ+WRC, One Waara, Buton Regency",-5.4226969,122.5895226,"school, point_of_interest, establishment",ChIJfwXYE_F3pC0RJGklZH7MUls
Goa Bidadari,"MJ55+FFR, Kolowa, Kabupaten Buton Tengah",-5.3412613,122.6086443,"tourist_attraction, point_of_interest, establishment",ChIJZecDKEaJoy0Rg72rLWJ7U8k
Goa Kakaha,"MG5Q+79G, Wanepa Nepa, Buton Regency",-5.3418167,122.5384569,"tourist_attraction, point_of_interest, establishment",ChIJ4RsILwCJoy0RcDQwwg0-0CQ
Goa Lapahia,"MJMM+X2J, Wakea Kea, Buton Regency",-5.3150406,122.6325071,"tourist_attraction, point_of_interest, establishment",ChIJVWoXkqaNoy0Rbnz6i6ywkxY
goa laulawi,"JFQ9+F98, Wantopi, Buton Regency",-5.361239,122.467727,"tourist_attraction, point_of_interest, establishment",ChIJB8lYANGHoy0RsIJZKlmWlSY
Goa Liang Kamoi,"QRXQ+27C, Unnamed Rd, Wakangka, Kabupaten Buton",-5.2024445,122.8381485,"tourist_attraction, point_of_interest, establishment",ChIJo8CF2fHuoy0R83PIa8cF4_E
